Year,UNA,DEM,REP,TOTAL,COUNTY
2019,258563,222775,130956,616720,Bergen
2018,256930,220598,130195,611676,Bergen
2017,254441,209553,126571,593454,Bergen
2016,263755,201584,123567,590522,Bergen
2015,270720,165519,107633,544337,Bergen
2014,272261,171471,111099,555293,Bergen
2013,264332,171603,111891,548247,Bergen
2012,269236,170109,111696,551425,Bergen
2011,248415,163336,109246,521327,Bergen
2010,252345,167953,111570,532166,Bergen
2009,250284,168705,111203,530452,Bergen
2008,260887,171379,111872,544374,Bergen
2007,285668,107053,95115,487977,Bergen
2006,296417,106355,97985,500899,Bergen
2005,298793,106296,98410,506070,Bergen
2004,312867,108148,99136,522490,Bergen
2003,272137,105818,100000,479931,Bergen
2002,279640,108564,102296,492408,Bergen
2001,277508,109607,101567,490503,Bergen
2000,290213,111638,100795,504426,Bergen